Daily Predicted,Date,Real Average Monthly/30
860.0661662,Oct 2018,
945.6882362,Oct 2018,
860.0661662,Nov 2018,871.7666667
631.7406462,Nov 2018,
660.2813362,Nov 2018,
917.1475462,Nov 2018,
917.1475462,Nov 2018,
974.2289262,Nov 2018,
1059.850996,Nov 2018,
745.9034062,Nov 2018,
860.0661662,Nov 2018,
917.1475462,Nov 2018,
1031.310306,Nov 2018,
1002.769616,Nov 2018,
1202.554446,Nov 2018,
1202.554446,Nov 2018,
1088.391686,Nov 2018,
717.3627162,Nov 2018,
546.1185762,Nov 2018,
1031.310306,Nov 2018,
1059.850996,Nov 2018,
1002.769616,Nov 2018,
974.2289262,Nov 2018,
1231.095136,Nov 2018,
1174.013756,Nov 2018,
1088.391686,Nov 2018,
974.2289262,Nov 2018,
431.9558162,Nov 2018,
806.9924723,Nov 2018,
892.6145423,Nov 2018,
721.3704023,Nov 2018,
721.3704023,Nov 2018,
521.5855723,Dec 2018,1039.5
635.7483323,Dec 2018,
864.0738523,Dec 2018,
1035.317992,Dec 2018,
921.1552323,Dec 2018,
607.2076423,Dec 2018,
635.7483323,Dec 2018,
749.9110923,Dec 2018,
1149.480752,Dec 2018,
1149.480752,Dec 2018,
1206.562132,Dec 2018,
1063.858682,Dec 2018,
1206.562132,Dec 2018,
864.0738523,Dec 2018,
721.3704023,Dec 2018,
949.6959223,Dec 2018,
1292.184202,Dec 2018,
1035.317992,Dec 2018,
864.0738523,Dec 2018,
1035.317992,Dec 2018,
1092.399372,Dec 2018,
1178.021442,Dec 2018,
1292.184202,Dec 2018,
1149.480752,Dec 2018,
1120.940062,Dec 2018,
1406.346962,Dec 2018,
1463.142455,Dec 2018,
1491.683145,Dec 2018,
1320.439005,Dec 2018,
1377.520385,Dec 2018,
1548.764525,Dec 2018,
1577.305215,Jan 2018,1310.933333
1605.845905,Jan 2018,
1577.305215,Jan 2018,
1548.764525,Jan 2018,
1320.439005,Jan 2018,
1263.357625,Jan 2018,
1206.276245,Jan 2018,
1291.898315,Jan 2018,
1434.601765,Jan 2018,
1263.357625,Jan 2018,
920.8693454,Jan 2018,
1092.113485,Jan 2018,
1120.654175,Jan 2018,
1120.654175,Jan 2018,
1263.357625,Jan 2018,
1063.572795,Jan 2018,
1177.735555,Jan 2018,
1149.194865,Jan 2018,
1348.979695,Jan 2018,
1491.683145,Jan 2018,
1577.305215,Jan 2018,
1348.979695,Jan 2018,
1149.194865,Jan 2018,
1177.735555,Jan 2018,
1006.491415,Jan 2018,
1149.968383,Jan 2018,
1064.346313,Jan 2018,
1121.427693,Jan 2018,
1092.887003,Jan 2018,
836.0207935,Jan 2018,
807.4801035,Jan 2018,
1149.968383,Feb 2018,1480
864.5614835,Feb 2018,
1321.212523,Feb 2018,
1378.293903,Feb 2018,
1321.212523,Feb 2018,
1606.619423,Feb 2018,
1235.590453,Feb 2018,
1178.509073,Feb 2018,
1092.887003,Feb 2018,
1235.590453,Feb 2018,
978.7242435,Feb 2018,
1264.131143,Feb 2018,
1292.671833,Feb 2018,
1378.293903,Feb 2018,
1606.619423,Feb 2018,
1321.212523,Feb 2018,
950.1835535,Feb 2018,
1149.968383,Feb 2018,
1406.834593,Feb 2018,
1321.212523,Feb 2018,
1007.264933,Feb 2018,
864.5614835,Feb 2018,
1035.805623,Feb 2018,
1264.131143,Feb 2018,
1350.348158,Feb 2018,
1179.104018,Feb 2018,
1064.941258,Feb 2018,
1293.266778,Feb 2018,
1407.429538,Mar 2018,1209.366667
1407.429538,Mar 2018,
1236.185398,Mar 2018,
836.6157376,Mar 2018,
1435.970228,Mar 2018,
1664.295748,Mar 2018,
1236.185398,Mar 2018,
1036.400568,Mar 2018,
1122.022638,Mar 2018,
865.1564276,Mar 2018,
1407.429538,Mar 2018,
1093.481948,Mar 2018,
1093.481948,Mar 2018,
922.2378076,Mar 2018,
865.1564276,Mar 2018,
750.9936676,Mar 2018,
1293.266778,Mar 2018,
1179.104018,Mar 2018,
1093.481948,Mar 2018,
1064.941258,Mar 2018,
1093.481948,Mar 2018,
1578.673678,Mar 2018,
1293.266778,Mar 2018,
1150.563328,Mar 2018,
1122.022638,Mar 2018,
1153.35854,Mar 2018,
1067.73647,Mar 2018,
982.1143998,Mar 2018,
982.1143998,Mar 2018,
696.7074998,Mar 2018,
925.0330198,Mar 2018,
839.4109498,Apr 2018,914.2666667
1039.19578,Apr 2018,
668.1668098,Apr 2018,
1124.81785,Apr 2018,
1267.5213,Apr 2018,
1296.06199,Apr 2018,
1353.14337,Apr 2018,
925.0330198,Apr 2018,
582.5447398,Apr 2018,
782.3295698,Apr 2018,
982.1143998,Apr 2018,
925.0330198,Apr 2018,
525.4633598,Apr 2018,
554.0040498,Apr 2018,
382.7599098,Apr 2018,
268.5971498,Apr 2018,
240.0564598,Apr 2018,
182.9750798,Apr 2018,
325.6785298,Apr 2018,
496.9226698,Apr 2018,
810.8702598,Apr 2018,
925.0330198,Apr 2018,
