Date,Henry Hub Daily Price
Nov-2015,1.92
Oct-2015,1.98
Oct-2015,2.15
Oct-2015,2.14
Oct-2015,2.14
Oct-2015,2.18
Oct-2015,2.28
Oct-2015,2.37
Oct-2015,2.37
Oct-2015,2.46
Oct-2015,2.43
Oct-2015,2.42
Oct-2015,2.54
Oct-2015,2.47
Oct-2015,2.47
Oct-2015,2.48
Oct-2015,2.49
Oct-2015,2.35
Oct-2015,2.35
Oct-2015,2.35
Oct-2015,2.34
Oct-2015,2.37
Oct-2015,2.37
Sep-2015,2.47
Sep-2015,2.57
Sep-2015,2.66
Sep-2015,2.6
Sep-2015,2.62
Sep-2015,2.62
Sep-2015,2.61
Sep-2015,2.61
Sep-2015,2.69
Sep-2015,2.69
Sep-2015,2.69
Sep-2015,2.74
Sep-2015,2.7
Sep-2015,2.67
Sep-2015,2.71
Sep-2015,2.74
Sep-2015,2.74
Sep-2015,2.67
Sep-2015,2.67
Sep-2015,2.67
Sep-2015,2.7
Sep-2015,2.7
Aug-2015,2.7
Aug-2015,2.69
Aug-2015,2.69
Aug-2015,2.73
Aug-2015,2.71
Aug-2015,2.65
Aug-2015,2.7
Aug-2015,2.77
Aug-2015,2.77
Aug-2015,2.71
Aug-2015,2.79
Aug-2015,2.83
Aug-2015,2.93
Aug-2015,2.93
Aug-2015,2.84
Aug-2015,2.85
Aug-2015,2.76
Aug-2015,2.76
Aug-2015,2.85
Aug-2015,2.83
Aug-2015,2.76
Jul-2015,2.76
Jul-2015,2.87
Jul-2015,2.91
Jul-2015,2.89
Jul-2015,2.92
Jul-2015,2.92
Jul-2015,2.92
Jul-2015,2.84
Jul-2015,2.84
Jul-2015,2.88
Jul-2015,2.88
Jul-2015,2.9
Jul-2015,2.93
Jul-2015,2.88
Jul-2015,2.88
Jul-2015,2.7
Jul-2015,2.7
Jul-2015,2.77
Jul-2015,2.77
Jul-2015,2.79
Jul-2015,2.79
Jul-2015,2.79
Jul-2015,2.78
Jun-2015,2.8
Jun-2015,2.77
Jun-2015,2.77
Jun-2015,2.8
Jun-2015,2.83
Jun-2015,2.83
Jun-2015,2.79
Jun-2015,2.81
Jun-2015,2.93
Jun-2015,2.93
Jun-2015,2.94
Jun-2015,2.89
Jun-2015,2.88
Jun-2015,2.88
Jun-2015,2.81
Jun-2015,2.72
Jun-2015,2.6
Jun-2015,2.6
Jun-2015,2.6
Jun-2015,2.65
Jun-2015,2.63
Jun-2015,2.78
May-2015,2.78
May-2015,2.78
May-2015,2.82
May-2015,2.82
May-2015,2.96
May-2015,2.96
May-2015,3.04
May-2015,3.01
May-2015,3.01
May-2015,2.96
May-2015,2.87
May-2015,2.85
May-2015,2.85
May-2015,2.85
May-2015,2.78
May-2015,2.74
May-2015,2.76
May-2015,2.76
May-2015,2.72
May-2015,2.68
Apr-2015,2.56
Apr-2015,2.55
Apr-2015,2.55
Apr-2015,2.5
Apr-2015,2.59
Apr-2015,2.59
Apr-2015,2.63
Apr-2015,2.59
Apr-2015,2.57
Apr-2015,2.67
Apr-2015,2.61
Apr-2015,2.62
Apr-2015,2.58
Apr-2015,2.58
Apr-2015,2.58
Apr-2015,2.72
Apr-2015,2.71
Apr-2015,2.71
Apr-2015,2.63
Apr-2015,2.63
Apr-2015,2.62
Mar-2015,2.65
Mar-2015,2.64
Mar-2015,2.89
Mar-2015,2.77
Mar-2015,2.77
